redump_name,serial_1,serial_2,serial_3,serial_4,serial_5
"Bigfoot - King of Crush (USA) (En,Fr,Es)",RVL-SKCE-USA-B0,,,,
"Biggest Loser Challenge, The (Europe, Australia)",RVL-ST6P-UKV-B0,,,,
"Biggest Loser Challenge, The (USA)",RVL-ST6E-USA-B0,,,,
"Biggest Loser, The (UK)",RVL-RX6P-UKV-B0,,,,
"Biggest Loser, The (USA)",RVL-RX6E-USA-B0,,,,
"Bigs 2, The - Baseball (UK)",RVL-RKVP-UKV-B0,,,,
"Bigs 2, The (USA)",RVL-RKVE-USA-B0,,,,
"Bigs, The (Europe)",RVL-RBGP-UKV,,,,
"Bigs, The (USA)",RVL-RBGE-USA,,,,
"Billy the Wizard - Rocket Broomstick Racing (Europe) (En,Fr,De,Es,It,Nl)",RVL-RBZX-NOE,,,,
Billy the Wizard - Rocket Broomstick Racing (UK),RVL-RBZP-UKV,,,,
Billy the Wizard - Rocket Broomstick Racing (USA),RVL-RBZE-USA,,,,
Billy's Boot Camp - Wii de Enjoy Diet! (Japan),RVL-SBCJ-JPN-B0,,,,
Biohazard - The Darkside Chronicles (Japan),RVL-SBDJ-JPN-B0, RVL-SBDJ-LTD-B0,,,
Biohazard - The Darkside Chronicles (Korea),RVL-SBDK-KOR-B0,,,,
Biohazard - The Umbrella Chronicles (Korea),RVL-RBUK-KOR,,,,
Biohazard - Umbrella Chronicles (Japan),RVL-RBUJ-JPN,,,,
Biohazard - Umbrella Chronicles (Japan) (Rev 1),RVL-RBUJ-JPN-B0,,,,
Biohazard (Japan),RVL-RE4J-JPN,,,,
Biohazard 4 - Wii Edition (Japan),RVL-RB4J-JPN,,,,
Biohazard 4 - Wii Edition (Japan) (Rev 1),RVL-RB4J-JPN, RVL-RB4J-JPN-B0,,,
Biohazard Zero (Japan),RVL-RBHJ-JPN,,,,
"Bionicle Heroes (Europe) (En,Fr,De,Es,It,Da)",RVL-RVIP-EUR,,,,
Bionicle Heroes (USA),RVL-RVIE-USA,,,,
"Birthday Party Bash (USA) (En,Fr,Es) (Rev 1)",RVL-R2YE-USA-B0,,,,
Bit.Trip Complete (Europe),RVL-SVTP-UKV-B0,,,,
Bit.Trip Complete (USA),RVL-SVTE-USA-B0,,,,
"Black Eyed Peas Experience, The (Europe) (En,Fr,De,Es,It)",RVL-SEPP-EUR-B0,,,,
