redump_name,serial_1,serial_2,serial_3
Panasonic Special CD-ROM (Japan),FZ-JJ9DS0-5F,,
"Panzer General (USA, Germany)",CS090225,,
PaTaank (Japan),FZ-SJ3154,,
PaTaank (Korea),GDT-GA211,,
"PaTaank (USA, Europe)",PTKUK1,,
"Pebble Beach Golf Links (USA, Canada) (Rev 1)",FZ-SC0101, FZ-SM0101,
"Pebble Beach Golf Links (USA, Korea)",FZ-SM0101, GDT-GA 031,
Penthouse Interactive - Virtual Photo Shoot Vol. 1 (Japan),FZ-SJ5151,,
"Perfect General, The (USA)",,,
Perfect World - Combat in a Digital World (Japan),E3D-7026,,
Perfect World - Combat in a Digital World (Japan) (Demo),E3D-9026S,,
Peter Frankl - Puzzle no Tou (Japan),FZ-SJ5051,,
PGA Tour 96 (Europe),,,
PGA Tour 96 (USA) (Beta) (1995-10-25),,,
PGA Tour 96 (USA) (RE-1),FZ-SM0102,,
Phoenix 3 (Europe),,,
Phoenix 3 (Europe) (Demo),,,
Phoenix 3 (USA),,,
Plumbers Don't Wear Ties (USA),,,
PO'ed (USA) (Beta) (1995-02-14),,,
"PO'ed (USA, Europe)",,,
Policenauts - Pilot Disk (Japan),VZ001,,
Policenauts (Japan) (Disc 1),VZ002,,
Policenauts (Japan) (Disc 2),VZ002,,
Powers Kingdom (Europe),FZ-SE0202,,
Powers Kingdom (Japan),FZ-SJ0202,,
Powerslide (USA) (Unl),,,
Pretty Soldier SailorMoon S (Japan),FZ-SJ1453,,
Pretty Soldier SailorMoon S (Japan) (Demo),FZ-JJ9DSB-5B,,
"Primal Rage (USA, Europe)",GSW201,,
Princess Maker 2 (Japan),FZ-SJ0253,,
Pro Stadium (Japan),IMP-SG1202,,
Pro Yakyuu Virtual Stadium - Professional Baseball (Japan),FZ-SJ1668,,
Pro Yakyuu Virtual Stadium - Professional Baseball (Japan) (Demo),FZ-JJ9DSE-5L,,
Psychic Detective (Europe) (Disc 1),E333DCXD[1],,
Psychic Detective (Europe) (Disc 2),E333DCXD[2],,
Psychic Detective (Europe) (Disc 3),E333DCXD[3],,
Psychic Detective (USA) (Disc 1),,,
Psychic Detective (USA) (Disc 2),,,
