Redump_Name,Game_Title,Product_Number (GameID),Version,Build_Date,Playable_Regions,Company_Short,Hardware_ID,Maker_ID,Device_Info,Area_Symbols,Peripherals,Boot_Filename
Giant Gram - Zen Nihon Pro Wres 2 in Nihon Budoukan (Japan),GIANTGRAM ALL JAPAN PRO.WRESTLING2 IN NIPPON BUDOUKAN,HDR-0005,V1.003,19990527,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,01BB810,1ST_READ.BIN
Giant Gram 2000 - Zen Nihon Pro Wres 3 Eikou no Yuusha-tachi (Japan),GIANTGRAM2000,HDR-0101,V1.004,20000706,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,01BBA10,1ST_READ.BIN
Giant Killers (Europe) (Beta) (2001-01-09),GIANT KILLERS,T45401D 50,V1.000,20010109,Europe,SEGA LC-T-454,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799801,0WINCEOS.BIN
GigaWing (Europe),GIGA WING,T7008D  50,V1.000,20000902,Europe,SEGA LC-T-70,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,07BBA10,1ST_READ.BIN
GigaWing (Japan),GIGAWING,T1208M,V1.001,19990915,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,27BBA10,1ST_READ.BIN
GigaWing (Japan) (Tentou Taikenban),GIGAWING,6107358,V1.000,19990914,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,27BBA10,1ST_READ.BIN
GigaWing (USA),GIGAWING,T1209N,V1.000,20000128,USA/Canada,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,07BBA10,1ST_READ.BIN
GigaWing 2 (Japan),GIGA WING2,T1239M,V1.001,20001104,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,07BBA10,1ST_READ.BIN
GigaWing 2 (Japan) (Tentou Taikenban),GIGA WING2 TAIKEN BAN,6107992,V1.000,20001104,Japan/Asia,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,07BB010,1ST_READ.BIN
GigaWing 2 (USA),GIGA WING2,T1222N,V1.000,20001211,USA/Canada,SEGA LC-T-12,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,U,07BBA10,1ST_READ.BIN
GK - Giant Killers (Europe),GIANT KILLERS,T45401D 50,V1.400,20010330,Europe,SEGA LC-T-454,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,E,799801,0WINCEOS.BIN
Godzilla Generations - Maximum Impact (Japan),GODZILLA GENERATIONS MAXIMUM IMPACT,HDR-0047,V1.004,19991129,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Godzilla Generations (Japan),GODZILLA GENERATIONS,HDR-0004,V1.001,19981105,Japan/Asia,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,0799A10,1ST_READ.BIN
Golem no Maigo (Japan),THE LOST GOLEM,T41501M,V1.008,20000126,Japan/Asia,SEGA LC-T-415,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799810,1ST_READ.BIN
Golf Shiyou yo - Course Data-shuu - Adventure-hen (Japan),GOLF SHIYOUYO - COURSES DATA - ADVENTURE EDITION,T40904M,V1.005,20000630,Japan/Asia,SEGA LC-T-409,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A10,1ST_READ.BIN
Golf Shiyou yo (Japan) (Rev A),GOLF SHIYOUYO,T40901M,V2.000,19991115,Japan/Asia,SEGA LC-T-409,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A00,1ST_READ.BIN
Golf Shiyou yo (Japan) (Rev B),GOLF_SHIYOUYO,T40901M,V3.000,20000604,Japan/Asia,SEGA LC-T-409,SEGA SEGAKATANA,SEGA ENTERPRISES,GD-ROM1/1,J,2799A00,1ST_READ.BIN
