Redump_Name,Serial_1,Serial_2
"Chibi-Robo! (Europe) (En,Fr,De,Es,It)",DOL-GGTP-EUR,
Chibi-Robo! (Japan) (Rev 1),DOL-GGTJ-JPN,
Chibi-Robo! (USA),DOL-GGTE-USA,
Choro Q! (Japan),DOL-GQAJ-JPN,
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (Europe)",DOL-GLVP-UKV,
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (USA)",DOL-GLVE-USA,
"Chroniken von Narnia, Die - Der Koenig von Narnia (Germany)",DOL-GLVD-NOE,
City Racer (USA),DOL-GRQE-USA,
Club Nintendo Original e-Catalog 2004 (Japan),DOL-D89J-DIS,
"Cocoto Funfair (Europe) (En,Fr,De,Es,It)",DOL-GOUP-EUR,
"Cocoto Kart Racer (Europe) (En,Fr,De,Es,It)",DOL-GC5P-EUR,
"Cocoto Platform Jumper (Europe) (En,Fr,De,Es,It)",DOL-GC7P-EUR,
Codename - Kids Next Door - Operation - V.I.D.E.O.G.A.M.E. (Europe),DOL-GKZP-UKV,
Codename - Kids Next Door - Operation - V.I.D.E.O.G.A.M.E. (USA),DOL-GKZE-USA,
Codename - Kids Next Door - Operation - V.I.D.E.O.S.P.I.E.L. (Germany),DOL-GKZD-NOE,
"Conan (Europe) (En,Fr,De,Es,It) (Disc 1)",DOL-GC9P-0-EUR,
"Conan (Europe) (En,Fr,De,Es,It) (Disc 2)",DOL-GC9P-1-EUR,
"Conflict - Desert Storm (Europe) (En,Fr,De,Es,It)",DOL-GCFP-EUR,
Conflict - Desert Storm (USA),DOL-GCFE-USA,
Conflict - Desert Storm (USA) (Rev 1),DOL-GCFE-USA,
Conflict - Desert Storm II - Back to Baghdad (USA),DOL-GC2E-USA,
"Conflict - Desert Storm II (Europe) (En,Fr,De,Es,It)",DOL-GC2P-EUR,
Crash Bandicoot - Bakusou! Nitro Kart (Japan),DOL-GC8J-JPN,
Crash Bandicoot - Gatchanko World (Japan),DOL-G9RJ-JPN,
"Crash Bandicoot - The Wrath of Cortex (Europe) (En,Fr,De,Es,It,Nl)",DOL-GCBP-EUR,
"Crash Bandicoot - The Wrath of Cortex (Europe) (En,Fr,De,Es,It,Nl) (Rev 1)",DOL-GCBP-EUR,
Crash Bandicoot - The Wrath of Cortex (USA),DOL-GCBE-USA,
Crash Bandicoot 4 - Sakuretsu! Majin Power (Japan),DOL-GCBJ-JPN,
Crash Nitro Kart (Europe),DOL-GCNP-EUR,DOL-GCNP-UKV
Crash Nitro Kart (USA),DOL-GCNE-USA,
"Crash Tag Team Racing (Europe, Australia)",DOL-G9RP-AUS,DOL-G9RP-UKV
Crash Tag Team Racing (France),DOL-G9RF-FRA,
Crash Tag Team Racing (Germany),DOL-G9RD-NOE,
Crash Tag Team Racing (Netherlands),DOL-G9RH-HOL,
Crash Tag Team Racing (USA),DOL-G9RE-USA,
"Crazy Taxi (Europe) (En,Fr,De,Es)",DOL-GCTP-EUR,
Crazy Taxi (Japan),DOL-GCTJ-JPN,
Crazy Taxi (USA),DOL-GCTE-USA,
Crazy Taxi (USA) (Beta) (2001-09-21),,
Croket! Ban-King no Kiki o Sukue (Japan) (Rev 1),DOL-GK6J-JPN,
Cube CD 01 (20) (UK) (Unl),,
Cube CD 02 (21) (UK) (Unl),,
Cube CD 03 (22) (UK) (Unl),,
Cube CD 04 (23) (UK) (Unl),,
Cube CD 05 (24) (UK) (Unl),,
Cube CD 06 (25) (UK) (Unl),,
Cube CD 07 (26) (UK) (Unl),,
Cube CD 08 (27) (UK) (Unl),,
Cube CD 09 (28) (UK) (Unl),,
Cube CD 10 (29) (UK) (Unl),,
Cube CD 11 (30) (UK) (Unl),,
Cube CD 12 (31) (UK) (Unl),,
Cube CD 13 (32) (UK) (Unl),,
Cube CD 14 (33) (UK) (Unl),,
Cube CD 15 (34) (UK) (Unl),,
Cube CD 16 (35) (UK) (Unl),,
Cube CD 17 (36) (UK) (Unl),,
Cube CD 18 (37) (UK) (Unl),,
Cube CD 19 (38) (UK) (Unl),,
Cube CD 20 (39) (UK) (Unl),,
Cube CD 20 (40) (UK) (Unl),,
Cubivore - Survival of the Fittest (USA),DOL-GCVE-USA,
Cubix Robots for Everyone - Showdown (USA),DOL-GCAE-USA,
Curious George (USA),DOL-G3JE-USA,
Custom Robo - Battle Revolution (Japan),DOL-GXCJ-JPN,
Custom Robo (USA),DOL-GXCE-USA,
Dabi Tsuku 3 - Derby-ba o Tsukurou! (Japan),DOL-G3TJ-JPN,
"Dairantou Smash Brothers DX (Japan) (En,Ja)",DOL-GALJ-JPN,
"Dairantou Smash Brothers DX (Japan) (En,Ja) (Rev 1)",DOL-GALJ-JPN,
"Dairantou Smash Brothers DX (Japan) (En,Ja) (Rev 2)",DOL-GALJ-JPN,
Dairantou Smash Brothers DX (Japan) (Taikenban),DOL-DALJ-DIS,
"Dakar 2 - The World's Ultimate Rally (USA) (En,Fr,De,Es,It)",DOL-GPDE-USA,
"Dakar 2 (Europe) (En,Fr,De,Es,It)",DOL-GPDP-EUR,
Dance Dance Revolution - Mario Mix (USA) (Rev 1),DOL-GWZE-USA,
Dance Dance Revolution with Mario (Japan),DOL-GWZJ-JPN,
"Dancing Stage Mario Mix (Europe) (En,Fr,De,Es,It)",DOL-GWZP-EUR,
"Dark Summit (Europe) (En,Fr,De)",DOL-GDSP-EUR,
Dark Summit (USA),DOL-GDSE-USA,
"Darkened Skye (Europe) (En,Fr,De)",DOL-GDQP-EUR,
Darkened Skye (USA),DOL-GDQE-USA,
Dave Mirra Freestyle BMX 2 (Europe),DOL-GBXP-EUR,
Dave Mirra Freestyle BMX 2 (USA),DOL-GBXE-USA,
"Dead to Rights (Europe) (En,Fr,Es,It)",DOL-GDRP-EUR,
