Redump Name,Domestic Title,Overseas Title,Product No.,Build Date,Hardware,Company,Disc Type,Version,I/O Devices,Region,Size
Ishii Hisaichi no Daiseikai (Japan),DAISEIKAI,DAISEIKAI,MK-6016,1993.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,8881152
"Jaguar XJ220 (Europe) (En,Ja)",JAGUAR XJ220,JAGUAR XJ220,T-60094-,1993.JAN,SEGA MEGA DRIVE,(C)T-98,GM,0,J,E,12042240
"Jaguar XJ220 (Japan) (En,Ja)",JAGUAR XJ220,JAGUAR XJ220,T-60094,1993.JAN,SEGA MEGA DRIVE,(C)T-98,GM,(unknown),J,J,12042240
Jaguar XJ220 (USA),JAGUAR XJ220,JAGUAR XJ220,T-6406-0,1993.JAN,SEGA GENESIS,(C)T-07,GM,(unknown),J,U,12042240
Jangou World Cup (Japan),JONGO WORLD CUP,JONGO WORLD CUP,T-60124,1993.AUG,SEGA MEGA DRIVE,(C)T-60,GM,0,J,J,33146736
Jeopardy! (USA),JEOPARDY!,JEOPARDY!,T-93095-,1994.OCT,SEGA GENESIS,(C)T-93,GM,0,4,U,95540592
Joe Montana's NFL Football (USA),JOE MONTANA FOOTBALL,JOE MONTANA FOOTBALL,MK-4201,1993.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,U,181819008
Jurassic Park (Europe),JURASSIC PARK PAL,JURASSIC PARK PAL,MK-4411,1994.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,190462608
Jurassic Park (Europe) (Rerelease),JURASSIC PARK PAL,JURASSIC PARK PAL,MK-4411,1994.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,190462608
Jurassic Park (France),JURASSIC PARK FRENCH,JURASSIC PARK FRENCH,MK-4411,1994.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,190462608
Jurassic Park (Germany),JURASSIC PARK GERMAN,JURASSIC PARK GERMAN,MK-4411,1994.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,190462608
Jurassic Park (Japan),JURASSIC PARK JAPANESE,JURASSIC PARK JAPANESE,G-6038 -,1994.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,190462608
Jurassic Park (Spain),JURASSIC PARK SPANISH,JURASSIC PARK SPANISH,MK-4411,1994.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,190462608
Jurassic Park (USA) (RE),JURASSIC PARK,JURASSIC PARK,MK-4411,1993.DEC,SEGA GENESIS,(C)SEGA,GM,0,J,U,190462608
Kamen Rider ZO (Japan),KAMEN RIDER ZO,KAMEN RIDER ZO,T-141014,1994.JAN,SEGA MEGA DRIVE,(C)T-49,GM,0,J,J,449996400
Keio Flying Squadron (Europe),KEIO YUUGEKITAI,KEIO FLYING SQUADRON,T-60185,1994.OCT,SEGA GENESIS,(C)T-60,GM,0,J6,E,77853552
Keio Flying Squadron (USA),KEIO YUUGEKITAI,KEIO FLYING SQUADRON,T-60185,1994.OCT,SEGA GENESIS,(C)T-60,GM,0,J6,U,77853552
