No-Intro Name,Hardware,Copyright Date,Domestic Title,Overseas Title,Type,Product No.,Version,Checksum,Region,CRC32,MD5,SHA1,SHA256
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-06)",SEGA GENESIS,(C)SEGA 1994.SEP,BATMAN THE ANIMATED SERIES,BATMAN THE ANIMATED SERIES,GM,MK-0000,0,0 (0x0000),U,F05CF389,253022c18c3ab3812bfbaf8f4bd2498c,bb7ed12f68a7df4956891338d6db0f29acb0f5df,1abca018bbb3f20c4832a6d89951d93b690f449a33afa62bbd506d705b09f142
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-10)",SEGA GENESIS,(C)SEGA 1994.SEP,BATMAN THE ANIMATED SERIES,BATMAN THE ANIMATED SERIES,GM,MK-0000,0,0 (0x0000),U,D4F3A070,05c161ca53b6ad17637164fac86d26eb,27b06143ca3d31504e75429610acc34be4bbe514,f355dcc8d9bb79c4d34098be24a6d1566683f0590d01d790c3ebac83aa932424
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-11)",SEGA GENESIS,(C)SEGA 1994.SEP,BATMAN THE ANIMATED SERIES,BATMAN THE ANIMATED SERIES,GM,MK-0000,0,0 (0x0000),U,B5B5A290,d544b5313e1e68815e866677f09bc26f,901fe36018b031ce6a226795ceb7fd868b28ead6,4b6422ef737f285e79643dd34a769f88f51e3fa6e0e465e76a4572acc45d5bd4
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-18)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,0 (0x0000),U,6874142B,853fd2cc1e8c535480f249733c749ee5,5cb7d30f81de290da7cd5298a38acccb7ab1f9c7,e4acece1b6549f8d354d4a828ea6ed165e2156096cca5dc7f8f75bf2a91bc204
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-19)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,0 (0x0000),U,7002DA56,d09c4d3103a6aa5759b6127b1ed8e2ad,f76e8669934668abfe739c043a40cbf8ed24e78a,463b4ab3caff3af2494b0269c1ddfaf108a10e22eab102a0e0ec93cc661e32e0
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-21)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,0 (0x0000),U,61F02F13,4b90d0ff89a5640e50e90436dedfb26b,531973851bb71a589be3544952cf0f7694f8d072,58388a647d23fd378bf49e45c3ce888505913706ef4b82321d18c67fc76cc8b2
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-22)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,0 (0x0000),U,EB8236B2,a2fef821af1841a082579e7602eaa53c,97c91de74e744ab0eb52bdcceffb79467a9c5474,652de89cd1f3e6f28fadf53f286216271205d25bb7d7b0c41e3b3495c8733d64
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-24)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,0 (0x0000),U,253947F8,b5ef867544dd0faa22d00e4847a1698d,1dfd9a4fd06cbe6e28b2519e84b303dbe03a9674,da33bd490f17184400dc2d94979fd55d3e56753a27bbf5a24d25eb0bef7e5e9a
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-26)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,0 (0x0000),JU,BC79F7EE,0979d3dca105909089ee309bcc71ab2a,6160fd2b45be920c68b31e2a88c27a967dde6d84,c3d8e639810dc43f76b5fd68820fdfb0440a585a3ba888f3b58b2a577d4188d3
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-27)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,56918 (0xDE56),JU,FDAC8190,98c5385580a6967a6aa9c53efa58e1b4,1a2bece0e3f66dcdd44b555ce45deda510b8ca3a,1b8127bbf8b031567cbf495d385c769c70ae89461b9de8a8990cb6340f1f0536
"Adventures of Batman & Robin, The (USA) (Beta) (1995-04-28)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,51611 (0xC99B),JU,27A1524B,be190588d8dcee5fdac69ace889146af,2e41a3b9c64d93de1d05c830f6d8471edfc2090c,90c1eb53be60e8a988d9b7b23d4c885c41fc46854ff85a1bb9928059a4e5b6dd
"Adventures of Batman & Robin, The (USA) (Beta) (1995-05-01)",SEGA GENESIS,(C)SEGA 1995.APR,THE ADVENTURES OF BATMAN AND ROBIN,THE ADVENTURES OF BATMAN AND ROBIN,GM,MK-1535,0,0 (0x0000),JU,589AA203,35252a13f24bd776b26c6f24e6572f90,10467cc121afd7d74699b3ab6b7243b370c09e47,10b7970555e82320a875c991ecc22328a43bc93c1001d58033a10db27b9cb194
"Adventures of Mighty Max, The (Europe)",SEGA MEGA DRIVE,(C)T-16 1994.DEC,MIGHTY MAX,MIGHTY MAX,GM,T-164056-00,(unknown),13541 (0x34E5),E,24F1A3BB,fc296926083a902b0a6eafdf44e651d3,e60eec1d39b32ce5cc2125cffd3016b4070a65c3,dbfe7ec0b86f2ccc302fd0bed3807c9ca381d65fc0bc6ba5bc4c016ab534d3c9
"Adventures of Mighty Max, The (USA)",SEGA GENESIS,(C)T-16 1994.DEC,MIGHTY MAX,MIGHTY MAX,GM,T-164056-00,(unknown),55357 (0xD83D),U,55F13A00,5a0d9a3c53c0aa7c5b3d67387ab90cd6,147364ce2de49a85bb64dd7f1075d9687d4fe89e,0a73f92065950d9ad253ee3f2ccbc2ff743579cd12b31566163ea8ab8b8773db
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",SEGA GENESIS,(C)T-86 1993.JUN,ROCKY AND       BULLWINKLE AND  FRIENDS,ROCKY AND       BULLWINKLE AND  FRIENDS,GM,T-86056,0,42978 (0xA7E2),U,EF02D57B,bbe09e07009bf4e24e9300b02e05a6c5,a70e83f25ff8ae8b0590920531558faa61738d0f,16ba8cc3c641498e4333c99795f58edf33c06a1e6c60c62eb031dacac2d7ec9b
"Adventures of the Gummi Bears, The (Russia) (Aftermarket) (Unl)",SEGA MEGA DRIVE,(unknown),Adventures of the Gummi Bears,Adventures of the Gummi Bears,GM,00000000-00,(unknown),0 (0x0000),JUE,7C403C5B,d8f5bed1738f13b3cf6398d0929900fd,401260fd94f88aa66d91e77d3155bd2c30586244,e710b6e74110f69ce93ecb20ebd4763437ac6ff87cd7bd7c7279ef58bc2c5daf
Adventurous Boy - Maoxian Xiaozi (Taiwan) (En) (Unl),SEGA are Registe,red  Trademarks,Of Sega Enterprises Ltd.,(unknown),(unknown),(unknown),(unknown),0 (0x0000),(unknown),D4403913,c277b15c9a7a3050e4b0bbcb796e27cc,f6e5bba7254f7f73a007f234f1001ddcb0b62484,f551e9be21f0c653bb8a7ced711f661855effc406529e8e39450f948834e1b42
Aero Blasters (Japan),SEGA MEGA DRIVE,(C)T-33 1989.JAN,AERO BLASTERS,(unknown),GM,T-33013,0,43636 (0xAA74),JU,A00DA987,401a31b3db4f14820e639c7a3efbb3e6,64d1964c3b6293f521427d3d83e4defe363cc129,97d6241f014ff726e25c0a54d25b655faab6ca5b5e93ff328f5b40ef54576e39
Aero the Acro-Bat (Europe),SEGA GENESIS,(C)T-15 1993.JUN,AERO THE ACROBAT,AERO THE ACROBAT,GM,T-15056,50,45091 (0xB023),E,1A3EAF57,dcab366c82c65fe8c463aac9f5c7a469,0a4c99a31e507bcee5b955e4bf3773f4ded827b6,27964e8e954e0b6107962f938d6e0f3c71dc0dd1232e65624948d197bfd071c3
Aero the Acro-Bat (Europe) (Beta),SEGA GENESIS,(C)T-15 1993.JUN,AERO THE ACROBAT,AERO THE ACROBAT,GM,T-15056,50,45091 (0xB023),E,DCD14B10,4e6f3e3db882f24a377c44c64cf30564,105316ad1eb7e3386cbd3ffa2d9d841796193e65,40dc9f887f889726faa16657c156a1128786da4d9d3606fecc3057974ac05b41
Aero the Acro-Bat (USA),SEGA GENESIS,(C)T-15 1993.JUN,AERO THE ACROBAT,AERO THE ACROBAT,GM,T-15056,0,0 (0x0000),U,A3A7A8B5,50f04f5c4c10158b757856f3d6845858,438fec09e05337a063f986632b52c9d60dd03ba1,6e845533d3d41dd10c7a0c7fbae5ab1fd2669f925cc5903954fb485859234b79
Aero the Acro-Bat 2 (Europe),SEGA MEGA DRIVE,(C)T-15 1994.JUL,AERO THE ACROBAT 2,AERO THE ACROBAT 2,GM,T-15166,50,38794 (0x978A),E,A451F9A1,a5197857252c9c58fea12b36337d5673,529200d5cea7a5560debd42b547631e7cef38b8b,370917992e745b38a3e9f0f16b33bf2c1b3070701721ec00329aca1573e84536
Aero the Acro-Bat 2 (USA),SEGA GENESIS,(C)T-15 1994.JUL,AERO THE ACROBAT 2,AERO THE ACROBAT 2,GM,T-15166,0,61013 (0xEE55),U,39EB74EB,7b8cdc053e9e12168ee8fb1da316a77c,6284a8a6c39137493b1ccc01fcd115cdfb775750,1665e5d6dd19e6b72fcd8b3e2d483322967e144a19b0d8f36216f6c7cc6caaa7
Aerobiz (USA),SEGA MEGA DRIVE,(C)T-76 1992.DEC,ｴｱｰﾏﾈｼﾞﾒﾝﾄ,AEROBIZ,GM,T-76046,10,5463 (0x1557),U,CFAA9BCE,d111e3b10e610d54c97ce445fdfcdefe,104ad3c6f5aaba08270faf427991d6a256c6e67c,ba9cf5e676036af7ddab25f1a0d6864fcd56d08b218926de668bdbce577a9d7d
Aerobiz Supersonic (USA),SEGA GENESIS,(C)T-76 1994.DEC,エアマネジメント２,AEROBIZ          SUPERSONIC,GM,T-76136,0,17952 (0x4620),U,9377F1B5,1269f44e846a88a2de945de082428b39,f29b148c052f50a89e3b877ce027a0d5aaa387d1,d1d12c8696baf50b62d6a6e82f167915305ee39296c0124a148fcd4b28581561
After Burner Complete (Europe),SEGA 32X,(C)SEGA 1994.NOV,AFTER BURNER    COMPLETE,AFTER BURNER    COMPLETE,GM,MK-84507-00,(unknown),60955 (0xEE1B),A,029106F5,a8e05bd3cdf97e1811ebd6d52c4371a7,c7d56cc75dc9a5206fda6a080cbedae9f48c82bc,78e4e6ed0dcc2b56018b5f7b7e6758208d1d29355524878829389906624c36a1
"After Burner Complete (Japan, USA) (En)",SEGA 32X,(C)SEGA 1994.OCT,AFTER BURNER    COMPLETE,AFTER BURNER    COMPLETE,GM,MK-84507-00,(unknown),16756 (0x4174),5,204044C4,ec9529858cc7961b39f5382b2f657b8f,9cf575feb036e2f26e78350154d5eb2fd3825325,5225e4a73a893bd40579b6fedd6f50fe294b06be23b8ab928024498ed6f633f3
After Burner II (Japan),SEGA MEGA DRIVE,"(C)T-17 1989,DEC",ｱﾌﾀｰﾊﾞｰﾅｰII,AFTER BURNERII,GM,T-17013,0,10347 (0x286B),J,4FF37E66,bcb26dc14405b4c909d46626f9eec01f,8f1e6a3e83094e5d0e237d6a1ffcc87171595ea5,a22dace12fe31e25724157b8e6124c29ad5cc990ba46d7971cf404fef16a0d3c
"After Burner II (USA, Europe)",SEGA MEGA DRIVE,"(C)T-17 1989,DEC",ｱﾌﾀｰﾊﾞｰﾅｰII,AFTER BURNERII,GM,MK-1104,0,47824 (0xBAD0),U,CCAFE00E,75458e38c278f61c06dabacc744b5fe1,523e4abdf19794a167a347b7eeca79907416e084,f68818ae1a616562e4c7dc77932bbc9f6bc4e42229f5b5d5796d4b2c2cc3f334
Agent Hugo - Environment at Risk (Russia) (Aftermarket) (Unl),SEGA GENESIS,(C) TOF 2010.MAY,HUGO ECOLOGY,HUGO ECOLOGY,GM,T-115016-00,(unknown),28950 (0x7116),U,BE32D65B,36da21df6efdc91ba7aee98976f47f0d,5f2d9ee7945c50c64b9664148befcb2f6ed48d54,686ea0d980c49881fd723878ffc363ca71d89758796888d53ea2867b480e7732
Agent Hugo - In the World of Dinosaurs (Russia) (Aftermarket) (Unl),SEGA GENESIS,(C) TOF 2010.MAY,CHUCK ROCKA2RS,CHUCK ROCKA2RS,GM,T-115016-00,(unknown),41630 (0xA29E),U,BD0EBE1C,554b3afd2a48c8ceffec187e42005056,4fca2e9d85534cc33e580ff83c5e7e8a71b35d62,c3b99f7e50b1ad9b409c879263c59e8f0dccc506182e44ddc3f7e2ea231c789d
