TOSEC Name,Game Title,Product Number (GameID),Version,Build Date,Playable Regions,Area Symbols,Device Info,Peripherals,Company,Hardware ID,Maker ID,Boot Filename,File Size (bytes)
"Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 1 of 3)[!][1M1, 1M3]",SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM1/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 1 of 3)[!][3M1],SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM1/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 1 of 3)[!][HL214D, HL215E, HL404A]",SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM1/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 2 of 3)[!][2M2, 2MM1]",SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM2/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 2 of 3)[!][3M1, 3M2]",SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM2/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 2 of 3)[!][HL214E, HL214F, HL215F, HL301C]",SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM2/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 3 of 3)[!][1MM1],SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM3/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 3 of 3)[!][2M1, 2M2]",SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM3/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 3 of 3)[!][3M3],SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM3/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 3 - Paris wa Moete Iru Ka v1.003 (2001)(Sega)(JP)(Disc 3 of 3)[!][HL214G, HL228B]",SAKURA WARS3,HDR-0152,V1.003,20010205,Japan/Asia,J,GD-ROM3/3,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 4 - Koi Seyo Otome v1.003 (2002)(Sega)(JP)[!][2M1, 2M3, 2M5, 2MM1]",SAKURA WARS 4,HDR-0191,V1.003,20020218,Japan/Asia,J,GD-ROM1/1,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
"Sakura Taisen 4 - Koi Seyo Otome v1.003 (2002)(Sega)(JP)[!][HM223A, HM302B, HM303F]",SAKURA WARS 4,HDR-0191,V1.003,20020218,Japan/Asia,J,GD-ROM1/1,0799A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
Sakura Taisen Online - Paris no Yuuga na Hibi v1.007 (2001)(Sega)(JP)[!],SAKURA TAISEN ONLINE PARI NO YUUGANA HIBI,HDR-0185,V1.007,20011121,Japan/Asia,J,GD-ROM1/1,2799810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,3854928
Sakura Taisen Online - Teito no Nagai Hibi v1.007 (2001)(Sega)(JP)[!],SAKURA TAISEN ONLINE TEITO NO NAGAI HIBI,HDR-0184,V1.007,20011121,Japan/Asia,J,GD-ROM1/1,2799810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,3854928
Sakura Taisen v1.009 (2000)(Sega)(JP)(Disc 1 of 2)[!],SAKURA WARS,HDR-0072,V1.009,20000420,Japan/Asia,J,GD-ROM1/3,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Sakura Taisen v1.009 (2000)(Sega)(JP)(Disc 2 of 2)[!],SAKURA WARS,HDR-0072,V1.009,20000420,Japan/Asia,J,GD-ROM2/3,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Sakura Taisen v1.010 (2000)(Sega)(JP)(Disc 1 of 2)[!],SAKURA WARS,HDR-0072,V1.010,20000501,Japan/Asia,J,GD-ROM1/3,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Sakura Taisen v1.010 (2000)(Sega)(JP)(Disc 2 of 2)[!],SAKURA WARS,HDR-0072,V1.010,20000501,Japan/Asia,J,GD-ROM2/3,0799A00,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Samba de Amigo v1.000 (2000)(Sega)(JP)[!][10MS1],SAMBA DE AMIGO,HDR-0063,V1.000,20000405,Japan/Asia,J,GD-ROM1/1,1FFF810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,18957120
Samba de Amigo v1.000 (2000)(Sega)(JP)[!][14MM1],SAMBA DE AMIGO,HDR-0063,V1.000,20000405,Japan/Asia,J,GD-ROM1/1,1FFF810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,18957120
Samba De Amigo v1.001 (2000)(Sega)(US)[!],SAMBA DE AMIGO,MK-51092,V1.001,20000913,USA/Canada,U,GD-ROM1/1,1FFF810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
Samba De Amigo v1.002 (2000)(Sega)(PAL)[!],SAMBA DE AMIGO,MK-5109250,V1.002,20001011,Europe,E,GD-ROM1/1,1FFF810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
Samba de Amigo Ver. 2000 v1.001 (2000)(Sega)(JP)[!],SAMBADEAMIGO V2,HDR-0131,V1.001,20001120,Japan/Asia,J,GD-ROM1/1,1FFF810,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,21019824
San Francisco Rush 2049 v1.001 (2000)(Midway)(US)(M6)[!],RUSH 2049,T-9707N,V1.001,20000802,USA/Canada,U,GD-ROM1/1,0799A10,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1427664
San Francisco Rush 2049 v1.002 (2000)(Midway)(PAL)(M6)[!],SAN FRANCISCO RUSH 2049,T-9709D-50,V1.002,20000901,Europe,E,GD-ROM1/1,0799A10,MIDWAY,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1427664
Sangokushi VI v1.000 (1999)(KOEI)(JP)[!],SANGOKUSHI 6,T7603M,V1.000,19990128,Japan/Asia,J,GD-ROM1/1,199800,SEGA LC-T-76,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
Sangokushi VI with Power-Up Kit v1.000 (2000)(KOEI)(JP)[!],SANGOKUSHI6WITHPK,T7607M,V1.000,20000228,Japan/Asia,J,GD-ROM1/1,799800,SEGA LC-T-76,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1220688
Seaman - Kindan no Pet v1.005 (1999)(Vivarium)(JP)[!][req. microphone],SEAMAN,T39401M,V1.005,19990705,Japan/Asia,J,GD-ROM1/1,0799C10,SEGA LC-T-394,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1996848
Seaman - Kindan no Pet v2.000 (1999)(Vivarium)(JP)[!][req. microphone],SEAMAN,T39401M,V2.000,19990802,Japan/Asia,J,GD-ROM1/1,0799C10,SEGA LC-T-394,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1996848
Seaman v1.001 (2000)(Sega)(US)[!][req. microphone],SEAMAN,MK-51048,V1.001,20000609,USA/Canada,U,GD-ROM1/1,0799C10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,3749088
Sega Bass Fishing 2 v1.080 (2001)(Sega)(US)[!],GETBASS2,MK-51166,V1.080,20010727,USA/Canada,U,GD-ROM1/1,0799B10,SEGA CORPORATION,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,1058400
Sega Bass Fishing v1.000 (1999)(Sega)(US)[!][12S],SEGA BASS FISHING,MK-51006,V1.000,19990630,USA/Canada,U,GD-ROM1/1,1F99A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Sega Bass Fishing v1.000 (1999)(Sega)(US)[!][4S],SEGA BASS FISHING,MK-51006,V1.000,19990630,USA/Canada,U,GD-ROM1/1,1F99A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
Sega Bass Fishing v1.000 (1999)(Sega)(US)[!][8S],SEGA BASS FISHING,MK-51006,V1.000,19990630,USA/Canada,U,GD-ROM1/1,1F99A10,SEGA ENTERPRISES,SEGA SEGAKATANA,SEGA ENTERPRISES,1ST_READ.BIN,705600
