Redump Name,Game Title,Product ID,Version,Hardware,Marker ID,Build Date,Disc Type,Peripherals,Region
Japan Super Bass Classic '96 (Japan),JAPAN SUPER BASS CLASSIC '96,T-18707G,V1.000,SEGA SEGASATURN,SEGA TP T-187,19960703,CD-1/1,J,J
"Jewels of the Oracle (Europe) (En,Ja,Fr,De)",JEWELS OF THE ORACLE,T-1503H-50,V1.000,SEGA SEGASATURN,SEGA TP T-15,19960820,CD-1/1,JM,E
"Jewels of the Oracle (USA) (En,Ja,Fr,De) (Proto) (1996-10-11)",JEWELS OF THE ORACLE,T-1503H,V1.001,SEGA SEGASATURN,SEGA TP T-15,19961011,CD-1/1,JM,U
"Jewels of the Oracle (USA) (En,Ja,Fr,De) (Proto) (1996-10-29)",JEWELS OF THE ORACLE,T-1503H,V1.000,SEGA SEGASATURN,SEGA TP T-15,19961011,CD-1/1,JM,U
Jikkyou Oshaberi Parodius - Forever with Me (Japan),VS041           JIKKYO PARODIUS,T-9513G,V1.040,SEGA SEGASATURN,SEGA TP T-95,19961029,CD-1/1,J,JT
Jikkyou Powerful Pro Yakyuu '95 - Kaimakuban (Japan) (1M),JIKKYO PAWAFURU PUROYAKYU 95 KAIMAKUBAN,T-9502G,V3.000,SEGA SEGASATURN,SEGA TP T-95,19950626,CD-1/1,J,JT
Jikkyou Powerful Pro Yakyuu '95 - Kaimakuban (Japan) (2M),JIKKYO PAWAFURU PUROYAKYU 95 KAIMAKUBAN,T-9502G,V3.000,SEGA SEGASATURN,SEGA TP T-95,19950626,CD-1/1,J,JT
Jikkyou Powerful Pro Yakyuu S (Japan),JIKKYOU PAWAFURUPUROYAKYU S,T-9523G,V1.200,SEGA SEGASATURN,SEGA TP T-95,19971027,CD-1/1,J,JT
Jikuu Tantei DD (Dracula Detective) - Maboroshi no Lorelei (Japan) (Disc A),J:JIKUUTANTEI DD,T-2103G,V1.002,SEGA SEGASATURN,SEGA TP T-21,19960607,CD-1/2,J,J
Jikuu Tantei DD (Dracula Detective) - Maboroshi no Lorelei (Japan) (Disc B),J:JIKUUTANTEI DD,T-2103G,V1.002,SEGA SEGASATURN,SEGA TP T-21,19960607,CD-2/2,J,J
Jissen Mahjong (Japan),Jissen Majong,T-15002G,V1.001,SEGA SEGASATURN,SEGA TP T-150,19950621,CD-1/1,J,J
Jissen Pachinko Hisshou-hou! Twin (Japan),JISSEN PACHINKO HISSHOUHOU TWIN,T-2407G,V1.003,SEGA SEGASATURN,SEGA TP T-24,19970206,CD-1/1,J,J
Jissen! Pachi-Slot Hisshou-hou! 3 (Japan),ZISSEN PACHISLO HISSHO-HO 3,T-2401G,V1.000,SEGA SEGASATURN,SEGA TP T-24,19960229,CD-1/1,J,J
Jissen! Pachi-Slot Hisshou-hou! 4 (Japan),JISSEN PACHISLOT HISSHOUHOU! 4,T-2406G,V1.000,SEGA SEGASATURN,SEGA TP T-24,19961106,CD-1/1,J,J
Jissen! Pachi-Slot Hisshou-hou! Iron Hook - The Great Marine Adventures (Japan),IRON HOOK,T-2404G,V1.000,SEGA SEGASATURN,SEGA TP T-24,19960220,CD-1/1,J,J
Johnny Bazooka (Japan),JOHNNY BAZOOKA,T-7302G,V1.000,SEGA SEGASATURN,SEGA TP T-073,19960216,CD-1/1,J,J
Johnny Bazookatone (Europe),JOHNNY BAZOOKATONE,T-7909H50,V1.000,SEGA SEGASATURN,SEGA TP T-079,19951122,CD-1/1,J,E
Johnny Bazookatone (USA),JOHNNY BAZOOKATONE,T-7909H,V1.000,SEGA SEGASATURN,SEGA TP T-079,19951122,CD-1/1,J,U
Jonah Lomu Rugby (Europe),JONAH LOMU RUGBY,T-12003H50,V1.100,SEGA SEGASATURN,SEGA TP T-120,19970626,CD-1/1,JT,E
Jonah Lomu Rugby (France),JONAH LOMU RUGBY,T-12003H09,V1.100,SEGA SEGASATURN,SEGA TP T-120,19970626,CD-1/1,JT,E
Joshikousei no Houkago... Pukunpa (Japan),PUKUNPA,T-16802G,V1.000,SEGA SEGASATURN,SEGA TP T-168,19960808,CD-1/1,JT,J
